Date,SPY,UPDOWN,MONTH
43882,333.48,-1.029826384,
43885,322.42,-3.316540722,
43886,312.65,-3.030209044,
43887,311.5,-0.367823445,
43888,297.51,-4.49117175,
43889,296.26,-0.420153944,
43892,309.09,4.330655505,3
43893,300.24,-2.863243715,
43894,312.86,4.203304023,
43895,302.46,-3.324170556,
43896,297.46,-1.653111155,
43899,274.23,-7.809453372,
43900,288.42,5.174488568,
43901,274.36,-4.87483531,
43902,248.11,-9.567721242,
43903,269.32,8.548627625,
43906,239.85,-10.94237338,
43907,252.8,5.399207838,
43908,240,-5.063291139,
43909,240.51,0.2125,
43910,228.8,-4.868820423,
43913,222.95,-2.556818182,
43914,243.15,9.060327428,
43915,246.79,1.497018301,
43916,261.2,5.838972406,
43917,253.42,-2.97856049,
43920,261.65,3.247573199,
43921,257.75,-1.490540799,
43922,246.15,-4.500484966,4
43923,251.83,2.307536055,
43924,248.19,-1.445419529,
43927,264.86,6.71662839,
43928,265.13,0.101940648,
43929,274.03,3.356843812,
43930,278.2,1.521731197,
43934,275.66,-0.913012221,
43935,283.79,2.949285352,
43936,277.76,-2.124810599,
43937,279.1,0.482430876,
43938,286.64,2.701540666,
43941,281.59,-1.761791795,
43942,273.04,-3.036329415,
43943,279.1,2.219455025,
43944,279.08,-0.00716589,
43945,282.97,1.393865558,
43948,287.05,1.441848959,
43949,285.73,-0.4598502,
43950,293.21,2.617856018,
43951,290.48,-0.931073292,
43952,282.79,-2.64734233,5
43955,283.57,0.275823049,
43956,286.19,0.923934126,
43957,284.25,-0.677871344,
43958,287.68,1.206684257,
43959,292.44,1.65461624,
43962,292.5,0.020517029,
43963,286.67,-1.993162393,
43964,281.6,-1.768584086,
43965,284.97,1.196732955,
43966,286.28,0.459697512,
43969,295,3.045968981,
43970,291.97,-1.027118644,
43971,296.93,1.698804672,
43972,294.88,-0.69039841,
43973,295.44,0.189907759,
43977,299.08,1.232060655,
43978,303.53,1.487896215,
43979,302.97,-0.184495766,
43980,304.32,0.445588672,
43983,305.55,0.404179811,6
43984,308.08,0.828015055,
43985,312.18,1.330823163,
43986,311.36,-0.262668973,
43987,319.34,2.56294964,
43990,323.2,1.208743033,
43991,320.79,-0.745668317,
43992,319,-0.557997444,
43993,300.61,-5.764890282,
43994,304.21,1.197564951,
43997,307.05,0.933565629,
43998,312.96,1.924767953,
43999,311.66,-0.415388548,
44000,311.78,0.038503497,
44001,308.64,-1.007120405,
44004,310.62,0.641524106,
44005,312.05,0.460369583,
44006,304.09,-2.550873257,
44007,307.35,1.072051038,
44008,300.05,-2.375142346,
44011,304.46,1.469755041,
44012,308.36,1.280956447,
44013,310.52,0.700479958,7
44014,312.23,0.550689167,
44018,317.05,1.543733786,
44019,313.78,-1.031383063,
44020,316.18,0.764867104,
44021,314.38,-0.569295971,
44022,317.59,1.021057319,
44025,314.84,-0.865896281,
44026,318.92,1.295896328,
44027,321.85,0.918725699,
44028,320.79,-0.329345969,
44029,321.72,0.289909286,
44032,324.32,0.808156161,
44033,325.01,0.212752837,
44034,326.86,0.569213255,
44035,322.96,-1.193171388,
44036,320.88,-0.644042606,
44039,323.22,0.729244577,
44040,321.17,-0.634242931,
44041,325.12,1.229878258,
44042,323.96,-0.356791339,
44043,326.52,0.790221015,
44046,328.79,0.695210094,8
44047,330.06,0.386264789,
44048,332.11,0.621099194,
44049,334.33,0.668453223,
44050,334.57,0.071785362,
44053,335.57,0.298891114,
44054,332.8,-0.825461156,
44055,337.44,1.394230769,
44056,336.83,-0.180772878,
44057,336.84,0.002968857,
44060,337.91,0.317658235,
44061,338.64,0.216033855,
44062,337.23,-0.416371368,
44063,338.28,0.311360199,
44064,339.48,0.354735722,
44067,342.92,1.013314481,
44068,344.12,0.349935845,
44069,347.57,1.002557247,
44070,348.33,0.218660989,
44071,350.58,0.645939196,
44074,349.31,-0.362256832,
44075,352.6,0.941856803,9
44076,357.7,1.446398185,
44077,345.39,-3.441431367,
44078,342.57,-0.81646834,
44082,333.21,-2.732288291,
44083,339.79,1.97473065,
44084,333.89,-1.736366579,
44085,334.06,0.050914972,
44088,338.46,1.31712866,
44089,340.17,0.505229569,
44090,338.82,-0.396860393,
44091,335.84,-0.879523051,
44092,330.65,-1.545378752,
44095,326.97,-1.112959323,
44096,330.3,1.018442059,
44097,322.64,-2.319103845,
44098,323.5,0.266550955,
44099,328.73,1.616692427,
44102,334.19,1.660937548,
